Model year,Make,Model,Vehicle size,Range (km),CO2 emissions (g/km),Recharge time (h)
2012,Mitsubishi,i-MiEV,Small,100,0,7.0
2012,Nissan,LEAF,Medium,117,0,7.0
2013,Ford,Focus Electric,Small,122,0,4.0
2013,Mitsubishi,i-MiEV,Small,100,0,7.0
2013,Nissan,LEAF,Medium,117,0,7.0
2013,smart,fortwo electric drive cabriolet,Large,109,0,8.0
2013,smart,fortwo electric drive coupe,Large,109,0,8.0
2013,Tesla,Model S (40 kWh),Medium,224,0,6.0
2013,Tesla,Model S (60 kWh),Medium,335,0,10.0
2013,Tesla,Model S (85 kWh),Medium,426,0,12.0
2013,Tesla,Model S Performance,Medium,426,0,12.0
2014,Chevrolet,Spark EV,Small,131,0,7.0
2014,Ford,Focus Electric,Small,122,0,4.0
2014,Mitsubishi,i-MiEV,Small,100,0,7.0
2014,Nissan,LEAF,Medium,135,0,5.0
2014,smart,fortwo electric drive cabriolet,Large,109,0,8.0
2014,smart,fortwo electric drive coupe,Large,109,0,8.0
2014,Tesla,Model S (60 kWh),Medium,335,0,10.0
2014,Tesla,Model S (85 kWh),Medium,426,0,12.0
2014,Tesla,Model S Performance,Medium,426,0,12.0
2015,BMW,i3,Small,130,0,4.0
2015,Chevrolet,Spark EV,Small,131,0,7.0
2015,Ford,Focus Electric,Small,122,0,4.0
2015,Kia,Soul EV,Large,149,0,4.0
2015,Mitsubishi,i-MiEV,Small,100,0,7.0
2015,Nissan,LEAF,Medium,135,0,5.0
2015,smart,fortwo electric drive cabriolet,Large,109,0,8.0
2015,smart,fortwo electric drive coupe,Large,109,0,8.0
2015,Tesla,Model S (60 kWh),Medium,335,0,10.0
2015,Tesla,Model S (70 kWh),Medium,377,0,12.0
2015,Tesla,Model S (85/90 kWh),Medium,426,0,12.0
2015,Tesla,Model S 70D,Medium,386,0,12.0
2015,Tesla,Model S 85D/90D,Medium,435,0,12.0
2015,Tesla,Model S P85D/P90D,Medium,407,0,12.0
2016,BMW,i3,Small,130,0,4.0
2016,Chevrolet,Spark EV,Small,131,0,7.0
2016,Ford,Focus Electric,Small,122,0,4.0
2016,Kia,Soul EV,Large,149,0,4.0
2016,Mitsubishi,i-MiEV,Small,100,0,7.0
2016,Nissan,LEAF (24 kWh),Medium,135,0,5.0
2016,Nissan,LEAF (30 kWh),Medium,172,0,6.0
2016,smart,fortwo electric drive cabriolet,Large,109,0,8.0
2016,smart,fortwo electric drive coupe,Large,109,0,8.0
2016,Tesla,Model S (60 kWh pre- 6/16),Medium,335,0,10.0
2016,Tesla,Model S (60 kWh),Medium,338,0,10.0
2016,Tesla,Model S (70 kWh),Medium,377,0,12.0
2016,Tesla,Model S (75 kWh),Medium,401,0,12.0
2016,Tesla,Model S (85/90 kWh),Medium,426,0,12.0
2016,Tesla,Model S 60D,Medium,351,0,10.0
2016,Tesla,Model S 70D,Medium,386,0,12.0
2016,Tesla,Model S 75D,Medium,417,0,12.0
2016,Tesla,Model S 85D/90D,Medium,435,0,12.0
2016,Tesla,Model S 90D (Refresh),Medium,473,0,12.0
2016,Tesla,Model S P85D/P90D,Medium,407,0,12.0
2016,Tesla,Model S P90D (Refresh),Medium,435,0,12.0
2016,Tesla,Model S P100D,Medium,507,0,12.0
2016,Tesla ,Model X 60D,Large,322,0,10.0
2016,Tesla,Model X 75D,Large,383,0,12.0
2016,Tesla,Model X 90D,Large,414,0,12.0
2016,Tesla,Model X P90D,Large,402,0,12.0
2016,Tesla,Model X P100D,Large,465,0,12.0
2017,BMW,i3 (60 Ah),Small,130,0,4.0
2017,BMW,i3 (94 Ah),Small,183,0,5.0
2017,Chevrolet,Bolt EV,Large,383,0,9.3
2017,Ford,Focus Electric,Small,185,0,5.5
2017,Hyundai,IONIQ Electric,Medium,200,0,4.0
2017,Kia,Soul EV,Large,150,0,4.0
2017,Mitsubishi,i-MiEV,Small,100,0,7.0
2017,Nissan,LEAF,Medium,172,0,6.0
2017,Tesla,Model S (60 kWh),Medium,338,0,10.0
2017,Tesla,Model S (75 kWh),Medium,401,0,12.0
2017,Tesla,Model S 60D,Medium,351,0,10.0
2017,Tesla,Model S 75D,Medium,417,0,12.0
2017,Tesla,Model S 90D,Medium,473,0,12.0
2017,Tesla,Model S 100D,Medium,539,0,12.0
2017,Tesla,Model S P90D,Medium,435,0,12.0
